cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2016,Wisconsin,Donald Trump,41.59575,47.21818456731012,5.6224345673101155,REP,10
2016,Michigan,Hillary Rodham Clinton,45.63504,47.21581719335427,1.5807771933542725,DEM,16
2004,Oregon,George W. Bush,45.426341,47.19291674243323,1.7665757424332327,REP,7
2004,Florida,John Kerry,47.412537,47.09111002771423,-0.3214269722857708,DEM,29
2004,Colorado,John Kerry,45.407688,47.0378422542883,1.6301542542882999,DEM,9
2008,Georgia,Barack Obama,45.850738,46.99017909606506,1.1394410960650632,DEM,16
2008,Ohio,John McCain,45.076674,46.91057836327485,1.8339043632748542,REP,18
2016,New Hampshire,Hillary Rodham Clinton,44.55227,46.82626266969056,2.273992669690557,DEM,4
2012,Pennsylvania,Mitt Romney,45.996814,46.586509132432,0.5896951324319986,REP,20
2020,Texas,Joseph R. Biden Jr.,47.44781,46.47901,-0.9687999999999946,DEM,38
2016,New Hampshire,Donald Trump,42.19355,46.45866698195341,4.265116981953405,REP,4
2016,Wisconsin,Hillary Rodham Clinton,46.59475,46.45384137224266,-0.1409086277573408,DEM,10
2016,Minnesota,Hillary Rodham Clinton,46.84633,46.44503396176695,-0.40129603823304905,DEM,10
2012,New Hampshire,Mitt Romney,47.595048,46.40379649268888,-1.1912515073111152,REP,4
2008,Virginia,John McCain,45.142236,46.33050069025531,1.1882646902553162,REP,13
2004,New Jersey,George W. Bush,41.850887,46.23881168128724,4.387924681287238,REP,14
2012,Iowa,Mitt Romney,46.638194,46.17786851053609,-0.46032548946390506,REP,6
2016,North Carolina,Hillary Rodham Clinton,46.44571,46.172866168209474,-0.2728438317905244,DEM,15
2012,Colorado,Mitt Romney,47.763305,46.1269839293067,-1.636321070693306,REP,9
2004,Missouri,John Kerry,45.377668,46.10044651683188,0.7227785168318803,DEM,10
2012,Wisconsin,Mitt Romney,46.190109,45.93834671361976,-0.25176228638024156,REP,10
2004,Delaware,George W. Bush,39.627884,45.75281857192356,6.124934571923561,REP,3
2012,Nevada,Mitt Romney,46.843353,45.67531564126363,-1.1680373587363704,REP,6
2004,Washington,George W. Bush,45.440929,45.64028199241436,0.19935299241436155,REP,12
2016,Georgia,Hillary Rodham Clinton,44.38599,45.63998335736082,1.2539933573608195,DEM,16
2016,Utah,Donald Trump,37.53276,45.53795868437707,8.005198684377064,REP,6
2016,Nevada,Donald Trump,44.34903,45.50069531760242,1.151665317602422,REP,6
2004,Virginia,John Kerry,44.237407,45.48389850195428,1.2464915019542815,DEM,13
2012,Georgia,Barack Obama,43.70729,45.48216048512199,1.774870485121987,DEM,16
2020,New Hampshire,Donald Trump,42.82938,45.35571,2.526330000000001,REP,4
2020,Minnesota,Donald Trump,42.66826,45.284942,2.6166820000000044,REP,10
2004,Hawaii,George W. Bush,43.684677,45.26459571155186,1.579918711551862,REP,4
2020,Ohio,Joseph R. Biden Jr.,46.77164,45.239338,-1.5323020000000014,DEM,18
2016,Arizona,Hillary Rodham Clinton,42.83694,45.12491703028259,2.2879770302825904,DEM,11
2008,Arizona,Barack Obama,45.255886,45.11525087476428,-0.1406351252357183,DEM,11
2012,Minnesota,Mitt Romney,44.723405,44.958201106668646,0.2347961066686466,REP,10
2016,Minnesota,Donald Trump,38.80846,44.92519310427733,6.11673310427733,REP,10
2008,South Carolina,Barack Obama,43.014639,44.89656001736624,1.8819210173662384,DEM,9
2020,Iowa,Joseph R. Biden Jr.,46.31091,44.891716,-1.4191939999999974,DEM,6
2016,Maine,Donald Trump,39.30419,44.86975333154171,5.565563331541711,REP,4
2008,South Dakota,Barack Obama,43.317003,44.74743111460175,1.430428114601753,DEM,3
2012,Michigan,Mitt Romney,45.565535,44.71091602742023,-0.8546189725797646,REP,16
2008,Colorado,John McCain,44.564978,44.70752210933716,0.1425441093371589,REP,9
2008,North Dakota,Barack Obama,44.946795,44.62054001471791,-0.32625498528209107,DEM,3
2012,Arizona,Barack Obama,43.994789,44.58976694179938,0.5949779417993852,DEM,11
2004,Maine,George W. Bush,42.87005,44.57645743784695,1.7064074378469485,REP,4
2004,Arkansas,John Kerry,46.140723,44.547630445189085,-1.5930925548109158,DEM,6
2008,New Hampshire,John McCain,41.529833,44.521428470962206,2.991595470962203,REP,4
2004,Illinois,George W. Bush,42.793199,44.47862682634849,1.6854278263484872,REP,20
